"PROVNAME","SHUNX","联通在信","IPTV业务","BREW","行业信息服务","流媒体","固网IVR","IVR业务","内容点播","行业短信","互联网电视业务","SP彩信MMS业务","固网短信","沃联系","电话会议","电脑保姆","固网悦铃","粗定位业务","通话秘书","G网WAP业务","共享能力平台","网络安全","联通丽音","短信卡业务","USSD","炫铃","音乐业务","小秘书","通信管家","沃阅读","精定位业务","IVVR业务","多媒体炫铃","黑莓业务","EMP","手机邮箱","联通丽音10155","媒体类社交应用","视频监控","行业WAP","上网卡","平安家居","G网JAVA业务","GIS","行业彩信","点对点彩信业务","WAPPUSH"
"西藏","1","198","0","0","0","0","0","10867","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","567","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"青海","2","95190","149960","0","0","0","0","0","0","0","0","13539","0","0","0","0","0","0","0","0","0","0","0","0","0","832","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"陕西","3","310826","0","0","0","0","1546","13861","0","575","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"内蒙古","4","126690","0","0","167352","0","29381","89217","0","0","0","53077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"宁夏","5","84868","0","0","0","1641","0","0","0","0","390630","101860","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"甘肃","6","552058","0","0","0","0","0","153504","0","0","0","4993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"安徽","7","636967","0","0","0","8094","0","35663","0","0","3013","72730","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"福建","8","458296","0","0","52","0","0","243551","49252","0","0","4584","0","0","0","0","0","22","0","0","0","0","0","0","0","6859","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"海南","9","64899","0","0","0","47421","0","6745","653069","0","0","23279","0","0","0","0","0","0","0","0","0","0","2499","0","0","0","0","0","0","0","10","0","0","0","314","0","0","0","0","0","0","0","0","0","0","0","0"
"重庆","10","359906","0","0","0","0","0","301383","0","0","0","315957","0","0","0","0","0","0","0","4650","0","0","0","0","0","37514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"吉林","11","413580","0","0","66199","0","0","584426","0","0","0","11858","0","0","0","0","0","0","0","0","0","0","15863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新疆","12","722245","0","0","0","410562","0","29420","0","0","4899","48178","0","0","0","0","0","0","0","0","0","0","0","0","0","114380","0","0","6433","7","10670","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"上海","13","379540","51203","0","363481","11318","422902","1802","37456","0","0","11342","79205","0","0","0","0","2048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"黑龙江","14","167518","0","0","908883","23","105047","157063","156421","194718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3029","0","0","0","0","0","0","0","0","0"
"江西","15","1345524","0","0","188937","72510","0","6286","0","0","0","30572","0","0","0","0","0","173","0","0","0","0","0","0","0","0","58850","0","0","33142","9","0","0","0","0","0","0","0","626","0","0","0","0","0","0","0","0"
"贵州","16","128589","297356","0","0","126864","0","0","0","0","0","154","0","0","0","0","0","13877","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1233074","0","0","2708","0","0","0"
