"PROVNAME","SHUNX","联通在信","IPTV业务","BREW","行业信息服务","流媒体","固网IVR","IVR业务","内容点播","行业短信","互联网电视业务","SP彩信MMS业务","固网短信","沃联系","电话会议","电脑保姆","固网悦铃","粗定位业务","通话秘书","G网WAP业务","共享能力平台","网络安全","联通丽音","短信卡业务","USSD","炫铃","音乐业务","小秘书","通信管家","沃阅读","精定位业务","IVVR业务","多媒体炫铃","黑莓业务","EMP","手机邮箱","联通丽音10155","媒体类社交应用","视频监控","行业WAP","上网卡","平安家居"
"吉林","1","-1470494","0","0","42588","0","0","-113657","0","0","0","12358","0","0","0","0","0","0","0","0","0","0","16286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"西藏","2","232","0","0","0","0","0","12680","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","621","0","0","0","0","0","0","0","0","0","0","0","0","0"
"北京","3","32843","0","0","0","3947","0","74097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"陕西","4","361449","0","0","0","0","0","24583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"青海","5","221052","227376","0","0","0","0","0","0","0","0","111659","0","0","0","0","0","0","0","0","0","0","0","0","0","1045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"宁夏","6","443544","0","0","0","1892","0","0","0","0","0","367658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"甘肃","7","631411","0","0","0","0","0","183529","0","0","0","5716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"贵州","8","390548","340128","0","0","250187","0","0","0","0","0","29914","0","0","0","0","0","17774","0","0","0","0","0","0","0","1077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新疆","9","765832","0","0","0","423299","0","43534","0","0","0","112223","0","0","0","0","0","0","0","0","0","0","0","0","0","69626","0","0","9448","0","12571","0","0","0","0","0","0","0","0","0","0","0"
"山西","10","357693","0","0","4844","0","610072","6395","0","63479","0","0","0","0","0","0","0","0","161438","0","346816","0","0","0","0","0","0","3072","0","0","9455","0","0","0","0","0","0","0","0","0","0","0"
"安徽","11","1357707","0","0","0","14732","0","60861","0","0","0","158747","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"内蒙古","12","149584","0","0","1273499","0","30816","106234","0","0","0","60448","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"福建","13","1356877","0","0","0","0","0","291586","26763","0","0","3744","0","0","0","0","0","24","0","0","0","0","0","0","0","6178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"江西","14","1500703","0","0","167054","66774","0","8256","0","0","0","33927","0","0","0","0","0","208","0","0","0","0","0","0","0","0","80706","0","0","41911","40","0","0","0","0","0","0","0","1280","0","0","0"
