"PROVNAME","SHUNX","联通在信","IPTV业务","BREW","行业信息服务","流媒体","固网IVR","IVR业务","内容点播","行业短信","互联网电视业务","SP彩信MMS业务","固网短信","沃联系","电话会议","电脑保姆","固网悦铃","粗定位业务","通话秘书","G网WAP业务","共享能力平台","网络安全","联通丽音","短信卡业务","USSD","炫铃","音乐业务","小秘书","通信管家","沃阅读","精定位业务","IVVR业务","多媒体炫铃","黑莓业务","EMP","手机邮箱","联通丽音10155","媒体类社交应用","视频监控","行业WAP","上网卡","平安家居","G网JAVA业务","GIS","行业彩信","点对点彩信业务","WAPPUSH"
"西藏","1","213","0","0","0","0","0","11666","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","571","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"吉林","2","92154","0","0","49354","0","0","325574","0","0","0","12174","0","0","0","0","0","0","0","0","0","0","15218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"陕西","3","430563","0","0","0","0","1546","22102","0","83375","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"内蒙古","4","132438","0","0","257894","0","29873","95159","0","0","0","55228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"重庆","5","179524","0","0","0","0","0","264735","0","0","0","179979","0","0","0","0","0","0","0","4773","0","0","0","0","0","37850","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"甘肃","6","592018","0","0","0","0","0","170644","0","0","0","5346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"青海","7","206878","459358","0","0","0","0","0","0","0","0","103758","0","0","0","0","0","0","0","0","0","0","0","0","0","966","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"安徽","8","674167","0","0","0","8297","0","40122","0","0","3202","76436","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"海南","9","76953","0","0","0","54553","0","7853","641954","0","0","25750","0","0","0","0","0","0","0","0","0","0","2587","0","0","0","0","0","0","0","10","0","0","0","332","0","0","0","0","0","0","0","0","0","0","0","0"
"宁夏","10","367687","0","0","0","868","0","0","0","0","410210","34327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"贵州","11","333433","305754","0","0","161770","0","0","0","0","0","24583","0","0","0","0","0","14745","0","0","0","0","0","0","0","999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2061","0","0","0"
"新疆","12","729827","0","0","0","419718","0","31954","0","0","5814","52865","0","0","0","0","0","0","0","0","0","0","0","0","0","110183","0","0","7262","4","11831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"上海","13","390321","46985","0","200303","11925","762635","1686","37456","0","0","11814","81636","0","0","0","0","2048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"云南","14","250306","5422","0","0","7368","0","0","0","3336","0","89283","0","1133694","0","0","0","0","0","0","0","0","0","210075","0","561","0","0","37","0","0","0","0","0","0","0","2649","0","0","0","0","0","0","0","0","0","0"
"江西","15","1320779","0","0","204636","80842","0","7266","0","0","0","33263","0","0","0","0","0","198","0","0","0","0","0","0","0","0","64932","0","0","33543","25","0","0","0","0","0","0","0","883","0","0","0","0","0","0","0","0"
"四川","16","633882","0","0","137718","227884","21149","0","0","723344","0","51522","0","0","0","0","6692","5583","0","10607","0","0","2668","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"黑龙江","17","170387","0","0","904643","33","110837","165521","279454","220106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3444","0","0","0","0","0","0","0","0","0"
"福建","18","1813849","0","0","52","0","0","259394","50784","0","0","4914","0","0","0","0","0","44","0","0","0","0","0","0","0","7045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"江苏","19","1500206","0","0","0","181","0","111414","0","0","0","13335","0","0","0","658140","0","0","0","18","0","0","0","0","0","16192","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"广西","20","3244443","0","0","2172","15286","0","129982","0","0","0","25760","0","0","0","0","0","0","0","37059","0","0","0","0","0","588","46026","0","0","0","6","0","15993","0","5348","10040","0","0","0","0","0","0","0","0","0","0","0"
"湖南","21","2310538","0","0","0","45400","0","91761","0","0","1995894","145391","0","0","0","0","0","236430","0","0","0","0","0","0","0","0","0","0","71103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"河南","22","1374005","0","0","0","2125547","1170736","645886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"浙江","23","571708","1039648","0","1278824","24864","0","35130","0","2418269","0","37816","948","0","0","0","0","7325","0","0","0","0","176985","0","0","16675","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2584","0","0","0","0"
"湖北","24","1926042","3688756","0","0","0","0","134576","0","0","5827","21983","0","0","0","0","13620","0","0","3537","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"山东","25","2853249","0","0","215967","0","392507","292415","0","0","0","190068","1036394","0","80575","0","0","32016","57344","0","14709","0","0","0","1157826","15971","0","0","0","0","15792","17682","0","0","88","0","0","0","0","0","0","0","0","0","0","0","0"
"山西","26","437793","10000842","0","8940","0","759782","60674","0","51899","0","0","0","0","0","0","0","0","133772","0","230528","0","0","0","10863","0","0","2594","0","0","7169","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"天津","27","804433","11042027","0","23261","10","481","241","24733","0","0","0","0","0","520023","0","0","0","143368","0","0","0","0","0","0","0","0","1654","0","0","57","0","0","12449","0","0","0","0","0","0","0","0","0","0","0","0","0"
"广东","28","1782463","0","0","8566350","7899","0","898759","1697190","0","84166","0","0","0","0","0","0","0","0","94923","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"辽宁","29","4125140","8350000","0","0","0","867112","342043","2079201","49314","0","0","155575","0","0","0","102897","22965","0","350816","0","0","2648","0","0","0","0","107077","214260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"北京","30","18292","14361165","0","394979","2061","1736484","46172","200643","217590","178","0","32573","0","214904","0","0","0","6934","0","34625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72987","0","0","0","0","0","88"
"河北","31","2170254","2017166","17565110","60529","776","2815866","779455","822310","0","0","116318","0","0","0","0","336090","0","0","0","0","11889","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
